"Ticker","Nome","Negócios","Última (R$)","Variação"
"SEQL3","Sequoia Logística","273.800","4,18","-4,57%"
"JSLG3","JSL","257.900","9,98","+2,78%"
"ZAMP3","Zamp","254.500","3,39","-1,74%"
"KLBN3","Klabin","249.400","4,30","+0,23%"
"HBOR3","Helbor","247.200","2,25","-0,88%"
"CAML3","Camil Alimentos","236.400","8,87","+0,00%"
"TASA4","Taurus","225.700","12,00","-2,83%"
"CSED3","Cruzeiro do Sul Educacional","218.900","3,86","-2,53%"
"BRIT3","Brisanet","208.700","4,31","-0,92%"
"TRIS3","Trisul","206.000","5,05","+0,40%"
"USIM3","Usiminas","199.000","7,96","+2,18%"
"BMOB3","Bemobi","195.900","14,74","+1,03%"
"AGXY3","AgroGalaxy","188.700","1,41","-1,40%"
"AERI3","Aeris Energy","186.700","5,86","-3,78%"
"SAPR3","Sanepar","182.400","5,00","-0,99%"
"TAEE3","Taesa","181.100","11,29","-1,83%"
"PTBL3","Portobello","180.400","4,77","+0,21%"
"LEVE3","Mahle Metal Leve","176.800","33,29","+0,03%"
"SYNE3","SYN","170.000","10,21","+0,10%"
"SHUL4","Schulz","160.000","6,54","-1,65%"
"ETER3","Eternit","151.200","5,90","-1,01%"
"ROMI3","Indústrias ROMI","149.900","10,89","+0,74%"
"LOGG3","LOG CP","145.800","23,15","-1,45%"
"MELK3","Melnick","145.000","3,61","-1,10%"
"TECN3","Technos","141.600","6,06","-0,82%"
"PFRM3","Profarma","138.200","5,53","+1,84%"
"AGRO3","BrasilAgro","133.900","27,87","+0,29%"
"DESK3","Desktop","129.800","15,39","-1,66%"
"SANB3","Banco Santander","127.500","13,58","+0,30%"
"RNEW4","Renova Energia","127.200","0,87","-2,25%"
"PRNR3","Priner","120.000","10,71","+1,23%"
"PINE4","Banco Pine","114.600","4,23","+0,24%"
"SANB4","Banco Santander","112.900","15,12","+0,67%"
"RCSL3","Recrusul","112.400","2,85","+4,01%"
"CMIG3","CEMIG","110.300","12,89","-2,27%"
"SHOW3","Time For Fun","103.900","1,62","-1,22%"
"LPSB3","Lopes","94.100","1,86","-3,12%"
"POMO3","Marcopolo","93.800","5,12","-0,19%"
"ITSA3","Itaúsa","87.600","10,34","+0,88%"
"GOLL11","GOL","86.900","2,16","-13,60%"
"DEXP3","Dexxos","84.800","10,05","-0,89%"
"PMAM3","Paranapanema","76.000","2,43","+1,25%"
"BLAU3","Blau Farmacêutica","75.800","11,29","-2,50%"
"LUPA3","Lupatech","73.900","1,72","-1,71%"
"UNIP6","Unipar","72.900","51,06","+1,23%"
"RAPT3","Randon","69.700","9,85","-4,09%"
"WEST3","Westwing","65.000","0,88","-4,35%"
"TCSA3","Tecnisa","59.300","2,14","-0,47%"
"ALLD3","Allied","55.900","8,12","-3,22%"
"DMVF3","D1000 Varejo Farma","50.400","7,88","+0,13%"
"PDTC3","Padtec","49.000","1,85","-1,60%"
"CTSA4","Santanense","39.800","1,00","-4,76%"
"VTRU3","VITRUBREPCOM","38.000","13,26","-0,08%"
"LVTC3","WDC Networks","36.800","3,54","-3,80%"
"BRAP3","Bradespar","36.700","18,29","+0,55%"
"CAMB3","Cambuci","36.700","11,15","-1,24%"
"LOGN3","Log-In","35.400","40,30","-1,13%"
"RNEW3","Renova Energia","32.800","0,91","+1,11%"
"IGTI3","Iguatemi","31.700","2,65","-1,49%"
"IGTI3","Jereissati Participações","31.700","2,65","-1,49%"
"ELMD3","Eletromidia","31.500","18,33","+0,60%"
"RPMG3","Refinaria de Manguinhos","31.200","2,96","-3,58%"
"OIBR4","Oi","28.100","12,41","-7,39%"
"VIVR3","Viver","27.900","2,39","-0,83%"
"LAND3","Terra Santa","27.300","14,25","+0,07%"
"CSUD3","CSU Cardsystem","26.700","20,18","-0,35%"
"CTNM4","Coteminas","22.600","0,95","+2,15%"
"EUCA4","Eucatex","21.900","16,15","-0,37%"
"BIOM3","Biomm","20.200","12,40","+0,00%"
"GGBR3","Gerdau","18.700","16,57","+1,16%"
"AALR3","Alliança","18.700","12,39","-0,16%"
"TPIS3","Triunfo","15.000","3,78","+0,27%"
"NUTR3","Nutriplant","14.900","4,76","+7,45%"
"INEP3","Inepar","14.600","1,84","-0,54%"
"UCAS3","Unicasa","14.300","2,27","+0,89%"
"EPAR3","Embpar Participações","10.600","5,90","-0,84%"
"RSID3","Rossi Residencial","9.800","4,45","-1,11%"
"GOAU3","Metalúrgica Gerdau","9.200","11,11","-0,36%"
"TASA3","Taurus","8.400","12,19","-2,79%"
"MGEL4","Mangels","8.100","13,50","+2,12%"
"SGPS3","Springs","7.900","2,34","+0,43%"
"NINJ3","GetNinjas","7.800","4,63","+1,09%"
"DOTZ3","Dotz","7.700","6,65","+3,74%"
"EMAE4","EMAE","6.700","47,42","-5,76%"
"BMEB4","Banco Mercantil do Brasil","6.700","31,00","+1,81%"
"BPAC5","Banco BTG Pactual","6.600","8,09","-1,22%"
"OSXB3","OSX Brasil","6.400","3,78","-0,53%"
"COCE5","Coelce","6.100","30,37","-2,82%"
"ALUP4","Alupar","6.100","10,20","-0,97%"
"TRPL3","Transmissão Paulista","5.300","31,80","-0,93%"
"FHER3","Fertilizantes Heringer","4.900","4,15","+2,47%"
"ALUP3","Alupar","4.400","10,75","+0,94%"
"ENGI4","Energisa","4.200","7,95","-0,75%"
"SCAR3","São Carlos","4.100","22,12","-1,86%"
"ENGI3","Energisa","4.100","14,50","-2,49%"
"RDNI3","RNI","4.100","3,14","+0,00%"
"BEES3","Banestes","4.000","9,02","+0,22%"
"EALT4","Electro Aço Altona","3.900","11,44","+0,35%"
"INEP4","Inepar","3.900","1,81","+0,56%"
"CEBR3","CEB","3.800","20,93","-0,33%"
"ALPA3","Alpargatas","3.800","9,13","+2,35%"
"WHRL4","Whirlpool","3.800","4,55","+0,22%"
"AZEV11","Azevedo & Travassos","3.500","0,61","-3,17%"
"HAGA4","Haga","3.400","1,16","-0,85%"
"ATOM3","ATOM","3.300","2,03","+2,01%"
"UNIP3","Unipar","3.200","50,64","+1,04%"
"BOBR4","Bombril","3.000","2,06","-0,48%"
"BRKM3","Braskem","2.900","18,26","-1,03%"
"MAPT4","Cemepe","2.900","6,17","+1,15%"
"BAZA3","Banco da Amazônia","2.800","92,00","-2,66%"
"CEBR6","CEB","2.700","19,31","-1,23%"
"MTSA4","Metisa","2.300","43,33","-1,46%"
"TELB4","Telebras","2.300","9,46","+0,85%"
"MERC4","Mercantil do Brasil Financeira","2.200","10,35","+15,00%"
"AVLL3","Alphaville","2.200","3,55","-1,39%"
"RSUL4","Metalúrgica Riosulense","2.100","64,89","-0,02%"
"HAGA3","Haga","2.100","2,72","+3,82%"
"CRPG5","Tronox Pigmentos","1.900","30,25","+2,47%"
"PSVM11","PSVM11","1.900","5,02","-16,33%"
"REDE3","Rede Energia","1.800","6,91","-0,29%"
"BAHI3","Bahema","1.700","6,31","+1,77%"
"CSRN5","COSERN","1.500","22,00","+2,18%"
"FESA3","Ferbasa","1.400","13,35","-2,13%"
"BEES4","Banestes","1.400","9,72","+0,00%"
"EQPA3","Equatorial Energia Pará","1.300","7,34","-1,08%"
"CEBR5","CEB","1.200","17,99","-0,50%"
"BRSR3","Banrisul","1.100","12,46","+0,16%"
"TELB3","Telebras","1.000","13,27","-3,14%"
"MNPR3","Minupar","1.000","13,20","+0,38%"
"SNSY3","Sansuy","1.000","12,60","-0,71%"
"ESTR4","Estrela","900","1,99","+4,19%"
"EKTR4","Elektro","800","39,40","-0,25%"
"PTNT4","Pettenati","700","6,40","-0,31%"
"GEPA4","Rio Paranapanema Energia","600","26,25","+0,96%"
"CGRA4","Grazziotin","600","25,60","+0,35%"
"ATMP3","Atma","600","1,99","+0,00%"
"WLMM4","WLM","500","31,90","+0,95%"
"BMIN4","Banco Mercantil de Investimentos","500","15,60","+0,00%"
"VSTE3","LE LIS BLANC","500","13,80","+0,00%"
"CLSC4","Celesc","400","77,45","+0,85%"
"CEEB3","COELBA","400","40,10","-0,74%"
"BPAC3","Banco BTG Pactual","400","15,50","+1,37%"
"CTSA3","Santanense","400","2,35","-0,42%"
"ENMT4","Energisa MT","300","78,67","-0,01%"
"CRPG6","Tronox Pigmentos","300","29,99","+0,00%"
"DEXP4","Dexxos","300","10,05","-1,47%"
"PTNT3","Pettenati","300","9,80","+2,73%"
"NORD3","Nordon","300","5,40","-5,26%"
"CGAS5","Comgás","200","115,30","-1,03%"
"UNIP5","Unipar","200","50,78","-1,21%"
"BMEB3","Banco Mercantil do Brasil","200","27,50","+3,62%"
"EQMA3B","Equatorial Maranhão","200","25,50","+0,00%"
"EUCA3","Eucatex","200","16,26","-1,39%"
"CBEE3","Ampla Energia","200","10,00","+2,04%"
"WHRL3","Whirlpool","200","4,44","-1,55%"
"NEXP3","Brasil Brokers","200","4,15","+0,48%"
"LIPR3","Eletropar","100","48,62","-0,41%"
"MRSA3B","MRS Logística","100","29,00","+9,15%"
"CGRA3","Grazziotin","100","25,26","+1,20%"
"BGIP4","Banese","100","22,98","+2,13%"
"CTKA3","Karsten","100","21,58","-0,05%"
"OFSA3","Ourofino Saúde Animal","100","19,48","+2,42%"
"SNSY5","Sansuy","100","5,92","+1,02%"
"PINE3","Banco Pine","100","5,39","+0,00%"
"HOOT4","Hotéis Othon","100","2,44","+0,00%"
"BMKS3","Monark","75","329,15","-1,74%"
"DOHL4","Döhler","8.600","4,14","+2,73%"
"RPAD5","Alfa Holdings","4.900","8,56","-0,47%"
"MNDL3","Mundial","1.200","15,30","+5,52%"
"CSRN3","COSERN","500","23,00","+0,04%"
"APER3","Alper","400","45,60","+1,27%"
"MRSA5B","MRS Logística","300","26,56","+0,00%"
"BSLI4","Banco de Brasília","300","10,14","+3,47%"
"AFLT3","Afluente T","300","7,21","-0,28%"
"MRSA6B","MRS Logística","200","26,56","-5,14%"
"PATI3","Panatlântica","200","25,00","+0,00%"
"BSLI3","Banco de Brasília","200","9,84","+2,61%"
"CGAS3","Comgás","100","105,01","-4,53%"
"TKNO4","Tekno","100","77,00","+10,00%"
"HBTS5","Habitasul","100","40,96","+0,00%"
"CTKA4","Karsten","100","19,00","-5,00%"
"HETA4","Hercules","600","5,30","-2,75%"
"TEKA4","Teka","500","31,00","+1,34%"
"BAUH4","Excelsior","300","79,49","+0,01%"
"GEPA3","Rio Paranapanema Energia","300","26,00","+0,00%"
"BALM4","Baumer","200","10,25","-0,49%"
"PLAS3","Plascar","200","5,52","+0,00%"
"CLSC3","Celesc","100","72,00","+0,00%"
"CEDO4","Cedro Têxtil","100","22,35","+0,00%"
"BMIN3","Banco Mercantil de Investimentos","100","19,62","-1,90%"
"BRKM6","Braskem","100","15,49","+0,00%"
"EALT3","Electro Aço Altona","100","10,80","+0,00%"
"IGTI4","Jereissati Participações","100","9,56","-0,73%"
"IGTI4","Iguatemi","100","9,56","-0,73%"
"PINE11","Banco Pine","100","8,35","-1,76%"
"EQPA6","Equatorial Energia Pará","100","8,00","+14,29%"
"MWET4","Wetzel","7.400","11,00","+31,42%"
"CTNM3","Coteminas","500","7,99","-5,78%"
"CPLE5","Copel","200","14,00","+0,00%"
"LUXM4","Trevisa","100","14,96","+6,93%"
"MAPT3","Cemepe","100","4,80","+14,01%"
"FIEI3","Fica","4.100","11,00","+0,00%"
"BNBR3","Banco do Nordeste","400","111,50","-3,88%"
"JOPA3","Josapar","200","23,00","+9,52%"
"BALM3","Baumer","100","12,50","+0,08%"
"BDLL4","Bardella","100","10,00","+0,00%"
"FRIO3","Metalfrio","100","245,00","-2,00%"
"ENMT3","Energisa MT","100","85,00","+0,00%"
"DMFN3","DM Financeira","100","12,50","-10,71%"
"GSHP3","General Shopping & Outlets","100","10,50","-0,66%"
"RPAD3","Alfa Holdings","400","8,73","-0,80%"
"BGIP3","Banese","200","24,17","-2,81%"
"WLMM3","WLM","100","25,51","+2,04%"
"BRSR5","Banrisul","100","16,99","+14,03%"
"BDLL3","Bardella","100","13,01","+0,00%"
"RPAD6","Alfa Holdings","100","8,75","+0,00%"
"EQPA7","Equatorial Energia Pará","100","8,24","+0,00%"
"CALI11","CALI11","100","6,00","+0,00%"
"DTCY3","Dtcom","1.100","6,29","+0,16%"
"PEAB3","Participações Aliança da Bahia","400","46,50","+1,09%"
"COCE3","Coelce","300","32,55","-1,09%"
"MOAR3","Monteiro Aranha","100","395,00","+1,28%"
"AHEB3","São Paulo Turismo","100","35,00","+0,00%"
"CEDO3","Cedro Têxtil","100","27,30","+0,00%"
